epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.63099,1.73991,1.56233,1.57348,0.61327,0.51899,0.57446,0.29898,1.59896,1.67041,1.50561,0.00058,0.00058,0.00058
2,12.3099,1.49567,1.39406,1.42257,0.64545,0.60684,0.62426,0.34847,1.52521,1.70806,1.46176,0.00116832,0.00116832,0.00116832
3,17.7185,1.48294,1.32748,1.38899,0.75034,0.56364,0.63707,0.35647,1.50592,1.48162,1.48037,0.00174476,0.00174476,0.00174476
4,23.5971,1.5036,1.55498,1.42367,0.66864,0.60606,0.65173,0.37056,1.48415,1.42513,1.45856,0.0019406,0.0019406,0.0019406
5,29.3815,1.42077,1.33446,1.33899,0.69104,0.56667,0.62212,0.3505,1.56147,1.59973,1.53229,0.0019208,0.0019208,0.0019208
6,35.0654,1.43504,1.27408,1.36745,0.59872,0.54545,0.56551,0.31047,1.55388,1.55682,1.51431,0.001901,0.001901,0.001901
7,40.6923,1.41914,1.25413,1.38049,0.7543,0.56061,0.64331,0.37431,1.48698,1.43518,1.46908,0.0018812,0.0018812,0.0018812
8,46.3267,1.37948,1.2268,1.33235,0.70326,0.58788,0.64657,0.35483,1.56271,1.49038,1.49068,0.0018614,0.0018614,0.0018614
9,51.9022,1.42794,1.20207,1.3638,0.62465,0.56667,0.59565,0.31723,1.654,1.52758,1.58395,0.0018416,0.0018416,0.0018416
10,57.6866,1.38544,1.25442,1.36462,0.77145,0.55758,0.66076,0.38395,1.48143,1.47407,1.49451,0.0018218,0.0018218,0.0018218
11,63.3015,1.35617,1.18429,1.35747,0.72631,0.60606,0.66464,0.38999,1.5174,1.36273,1.48232,0.001802,0.001802,0.001802
12,68.5185,1.32308,1.15156,1.29846,0.70732,0.66061,0.70679,0.40592,1.55738,1.46973,1.47985,0.0017822,0.0017822,0.0017822
13,74.0988,1.33567,1.13312,1.29787,0.71454,0.59165,0.67442,0.38746,1.53757,1.4847,1.48244,0.0017624,0.0017624,0.0017624
14,79.3812,1.30894,1.12804,1.28263,0.68759,0.6,0.67132,0.40147,1.45158,1.30413,1.44198,0.0017426,0.0017426,0.0017426
15,84.662,1.35184,1.14314,1.31435,0.72671,0.65455,0.72735,0.41848,1.47626,1.24828,1.45683,0.0017228,0.0017228,0.0017228
16,90.0646,1.29435,1.11409,1.29802,0.81885,0.6027,0.71785,0.41703,1.45211,1.2805,1.42918,0.001703,0.001703,0.001703
17,95.3704,1.31439,1.11943,1.28633,0.70087,0.61212,0.68109,0.3872,1.5267,1.43562,1.47901,0.0016832,0.0016832,0.0016832
18,100.651,1.32723,1.13523,1.28402,0.76432,0.59394,0.69673,0.40195,1.49517,1.31703,1.48195,0.0016634,0.0016634,0.0016634
19,106.299,1.24374,1.08531,1.28014,0.76192,0.61515,0.7062,0.42282,1.4441,1.2201,1.44212,0.0016436,0.0016436,0.0016436
20,111.69,1.26092,1.01256,1.25524,0.72059,0.64085,0.71773,0.40567,1.5386,1.21501,1.51097,0.0016238,0.0016238,0.0016238
21,117.074,1.25097,1.03973,1.26308,0.67574,0.66667,0.70787,0.4221,1.46437,1.30097,1.42807,0.001604,0.001604,0.001604
22,122.675,1.23242,0.98639,1.23475,0.69056,0.69654,0.72659,0.43842,1.45319,1.16605,1.42502,0.0015842,0.0015842,0.0015842
23,128.111,1.23693,1.0133,1.23988,0.80413,0.59394,0.71574,0.44291,1.46045,1.34179,1.43295,0.0015644,0.0015644,0.0015644
24,133.492,1.25956,0.99955,1.25219,0.65953,0.65152,0.69687,0.40512,1.43746,1.21616,1.43428,0.0015446,0.0015446,0.0015446
25,139.027,1.22612,1.02061,1.21876,0.65805,0.62121,0.67554,0.38438,1.4808,1.4576,1.44054,0.0015248,0.0015248,0.0015248
26,144.486,1.28503,1.05972,1.27311,0.77494,0.63939,0.7281,0.43828,1.43844,1.18977,1.43922,0.001505,0.001505,0.001505
