epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.28547,2.08235,2.66096,1.86551,0.01154,0.8499,0.14,0.05362,2.0458,3.04678,1.87124,0.00052,0.00052,0.00052
2,17.024,1.90467,2.09939,1.71568,0.19965,0.11562,0.07824,0.02712,2.17076,2.96007,2.15528,0.00104951,0.00104951,0.00104951
3,24.7432,1.95082,1.98244,1.70125,0.31335,0.16633,0.13577,0.043,2.51105,2.67949,2.2023,0.00156832,0.00156832,0.00156832
4,32.5481,1.9343,1.99266,1.74641,0.14553,0.22921,0.1039,0.03729,2.32691,3.10962,2.21965,0.0019406,0.0019406,0.0019406
5,40.252,1.93578,1.82512,1.69876,0.36021,0.35903,0.28165,0.08756,2.50608,2.37145,2.36105,0.0019208,0.0019208,0.0019208
6,48.1651,1.95839,1.86777,1.77266,0.44598,0.38371,0.33144,0.11693,2.29067,3.24345,2.27267,0.001901,0.001901,0.001901
7,56.0849,1.92251,1.7787,1.68921,0.48999,0.37323,0.34764,0.13352,2.3402,2.11065,2.19055,0.0018812,0.0018812,0.0018812
8,63.9155,1.91936,1.74364,1.7216,0.45553,0.39711,0.37818,0.13654,2.22113,2.03191,2.05991,0.0018614,0.0018614,0.0018614
9,71.824,1.91185,1.71004,1.68,0.28001,0.27789,0.20844,0.06653,2.37341,2.50693,2.23288,0.0018416,0.0018416,0.0018416
10,79.6308,1.8822,1.73744,1.69507,0.48323,0.44625,0.42352,0.15361,2.20164,2.00463,1.99381,0.0018218,0.0018218,0.0018218
11,87.1247,1.87734,1.68745,1.66471,0.46735,0.46247,0.435,0.16537,2.08383,2.39289,1.91088,0.001802,0.001802,0.001802
12,94.6051,1.82287,1.64001,1.65006,0.50725,0.43223,0.42595,0.16549,2.16685,2.0087,2.07435,0.0017822,0.0017822,0.0017822
13,102.013,1.85521,1.67913,1.66844,0.51792,0.39148,0.40659,0.15979,2.15371,2.03083,1.97858,0.0017624,0.0017624,0.0017624
14,109.423,1.85351,1.62433,1.64552,0.56309,0.44422,0.46314,0.17404,2.16824,1.95982,1.98123,0.0017426,0.0017426,0.0017426
15,116.86,1.83472,1.61625,1.64831,0.54601,0.47572,0.46687,0.17581,2.16112,1.83866,1.97002,0.0017228,0.0017228,0.0017228
16,124.319,1.87104,1.63438,1.65853,0.56356,0.49493,0.49372,0.1758,2.10693,2.08411,1.91631,0.001703,0.001703,0.001703
17,131.86,1.84267,1.53138,1.6304,0.56897,0.49087,0.50061,0.1961,2.11389,1.75182,1.94175,0.0016832,0.0016832,0.0016832
18,139.288,1.80454,1.53398,1.61557,0.61892,0.43813,0.49598,0.19491,2.1094,1.79626,1.92694,0.0016634,0.0016634,0.0016634
19,146.759,1.81084,1.51684,1.62534,0.57947,0.53347,0.52987,0.20972,2.0616,1.70194,1.88714,0.0016436,0.0016436,0.0016436
20,154.241,1.76424,1.48425,1.5881,0.63057,0.47087,0.50202,0.18218,2.11215,1.88212,1.92614,0.0016238,0.0016238,0.0016238
21,161.718,1.7998,1.47484,1.60615,0.584,0.47667,0.50079,0.19857,2.1242,1.77591,1.89621,0.001604,0.001604,0.001604
22,169.352,1.75211,1.4976,1.58211,0.57802,0.5029,0.52426,0.19875,2.09292,1.8349,1.88822,0.0015842,0.0015842,0.0015842
23,176.883,1.75687,1.41698,1.57351,0.61159,0.52535,0.54227,0.22318,2.10162,1.63904,1.88097,0.0015644,0.0015644,0.0015644
24,184.442,1.76865,1.45204,1.58216,0.61843,0.51116,0.537,0.2045,2.06818,1.74475,1.88572,0.0015446,0.0015446,0.0015446
25,191.94,1.73898,1.42124,1.56715,0.60226,0.54361,0.56854,0.2213,2.07335,1.67781,1.89904,0.0015248,0.0015248,0.0015248
26,199.316,1.74308,1.44189,1.58362,0.5572,0.5156,0.51972,0.20667,2.09061,1.71479,1.92818,0.001505,0.001505,0.001505
27,206.755,1.76503,1.39211,1.54468,0.62595,0.54361,0.57471,0.22367,2.10224,1.68026,1.88041,0.0014852,0.0014852,0.0014852
28,214.114,1.73729,1.39882,1.54052,0.60198,0.53381,0.5516,0.22237,2.05184,1.63223,1.87483,0.0014654,0.0014654,0.0014654
29,221.479,1.74828,1.40164,1.55669,0.58065,0.51398,0.53053,0.20816,2.0969,1.69752,1.91777,0.0014456,0.0014456,0.0014456
30,228.854,1.71165,1.36914,1.53083,0.68844,0.50101,0.56078,0.22828,2.06574,1.63408,1.84361,0.0014258,0.0014258,0.0014258
31,236.322,1.73382,1.38467,1.55543,0.60815,0.50913,0.547,0.22309,2.10968,1.65623,1.89251,0.001406,0.001406,0.001406
32,243.866,1.67731,1.33181,1.53807,0.68391,0.51788,0.59481,0.24698,2.11595,1.5702,1.90023,0.0013862,0.0013862,0.0013862
33,251.397,1.73566,1.37098,1.55798,0.6402,0.47262,0.51562,0.21105,2.15444,1.87692,1.95541,0.0013664,0.0013664,0.0013664
34,258.999,1.67027,1.34022,1.52818,0.65584,0.52569,0.5671,0.22311,2.08811,1.69575,1.88064,0.0013466,0.0013466,0.0013466
35,266.567,1.65941,1.30214,1.51546,0.64052,0.51318,0.55018,0.22055,2.12957,1.62988,1.93048,0.0013268,0.0013268,0.0013268
36,274.114,1.67497,1.2948,1.50686,0.64119,0.50507,0.56422,0.21899,2.08618,1.63598,1.88445,0.001307,0.001307,0.001307
